#{"t_start": 1636857929.0559928, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
540.464924,500,59.047596,681.162504,540.464924
-459.165277,228,61.227906,838.369657,-459.165277
-679.724742,91,62.115991,1379.401097,-679.724742
-400.493975,174,63.490673,1758.095903,-400.493975
21.659765,329,67.391726,2356.675008,21.659765
-284.987165,313,70.744437,2127.025383,-284.987165
-564.683568,123,71.910527,1536.9801,-564.683568
-532.517364,169,73.387289,1677.814183,-532.517364
-604.31359,169,75.49966,1428.139703,-604.31359
-574.494423,201,78.539412,718.793351,-574.494423
-666.970983,98,80.011939,1383.752261,-666.970983
-741.325137,129,81.656905,438.70182,-741.325137
-182.289881,222,84.86978,1646.523548,-182.289881
-652.180158,126,86.519467,1479.107421,-652.180158
-585.144833,152,88.56099,1534.673617,-585.144833
139.337054,478,94.876788,2917.332123,139.337054
-554.792766,141,97.690693,1595.931709,-554.792766
-399.824211,194,100.5667,1728.045713,-399.824211
-449.206817,158,102.754019,1678.491633,-449.206817
-718.75824,169,104.81732,605.060967,-718.75824
-450.61022,296,108.441667,1031.876108,-450.61022
-613.589335,157,110.274944,618.205096,-613.589335
-892.266364,63,111.004211,180.382958,-892.266364
-436.373827,185,113.634571,1787.296213,-436.373827
-123.68513,270,117.499648,2072.13139,-123.68513
-300.92972,242,120.39747,1938.193348,-300.92972
-93.420912,281,123.791418,983.790471,-93.420912
-92.710409,265,126.558553,1987.938286,-92.710409
1159.147282,44,127.023495,-826.760157,1159.147282
