#{"t_start": 1638323069.1742077, "env_id": "multicomp/YouShallNotPassHumans-v0"}
r,l,t,r0,r1
-1940.993543,115,1.921232,-56.554678,-1940.993543
-1500.71513,68,2.534024,1186.403735,-1500.71513
-1395.577614,72,3.077382,1162.216194,-1395.577614
-1322.992046,49,3.43749,1136.319011,-1322.992046
-1451.487098,57,3.863346,1151.764756,-1451.487098
-1594.209578,75,4.439993,1211.218533,-1594.209578
-1366.553116,52,4.828514,1136.904837,-1366.553116
-1178.505797,37,5.111544,1105.985957,-1178.505797
-1542.975941,97,5.85787,1132.277126,-1542.975941
-1609.082624,70,6.420194,1189.551619,-1609.082624
-1461.710687,57,6.853639,1121.761916,-1461.710687
-1391.245092,53,7.240495,1140.956572,-1391.245092
-1823.498681,86,7.878537,-3.804229,-1823.498681
-1499.695823,61,8.384175,1148.95421,-1499.695823
-1508.223432,74,9.039924,1139.894792,-1508.223432
-1284.808692,50,9.493711,1140.847588,-1284.808692
-1259.825331,42,9.852264,1120.678492,-1259.825331
-1188.478818,50,10.2491,1146.367974,-1188.478818
-1471.370238,59,10.730085,1162.236907,-1471.370238
-1453.880699,53,11.150969,1140.816014,-1453.880699
-1244.127471,51,11.548161,1140.827652,-1244.127471
-1527.466711,62,12.028318,1177.085829,-1527.466711
-1609.579491,80,12.649299,1089.658357,-1609.579491
-1442.822602,85,13.355367,1193.461507,-1442.822602
-1289.330347,57,13.779311,1151.459324,-1289.330347
-1648.699939,82,14.393769,17.175287,-1648.699939
-1378.145883,62,14.857989,1183.989826,-1378.145883
-1500.812549,66,15.36023,1176.704928,-1500.812549
-1458.561571,64,15.862332,1182.063694,-1458.561571
-1350.842681,49,16.228847,1142.661209,-1350.842681
-1392.980951,61,16.680438,1164.51413,-1392.980951
-1528.419894,60,17.557897,1172.784593,-1528.419894
-1357.328641,61,18.00351,1179.65751,-1357.328641
-1452.0858,53,18.421268,1161.881986,-1452.0858
-1338.641902,51,18.800077,1135.220404,-1338.641902
-1424.003973,58,19.241131,1159.981309,-1424.003973
-1525.356302,62,19.740315,1182.377958,-1525.356302
-1393.527168,53,20.125779,1140.515919,-1393.527168
-1317.777754,51,20.55519,1145.9372,-1317.777754
-1402.359969,50,20.963393,1150.508413,-1402.359969
-1409.037808,48,21.3402,1122.397054,-1409.037808
-1339.65306,48,21.696663,1112.48679,-1339.65306
-1335.23863,58,22.116698,1167.871191,-1335.23863
-1490.779704,73,22.642422,1186.792522,-1490.779704
-1472.784029,72,23.170301,1214.965501,-1472.784029
-1347.130701,54,23.57289,1165.584032,-1347.130701
-1906.530479,100,24.310418,-82.078912,-1906.530479
-1293.960963,52,24.703873,1127.629472,-1293.960963
-1361.670624,48,25.050106,1138.54168,-1361.670624
-1828.956762,101,25.814906,-120.535156,-1828.956762
-1302.724005,51,26.177042,1127.030307,-1302.724005
-1342.825695,56,26.583205,1129.503056,-1342.825695
-1646.943381,80,27.154394,1098.031713,-1646.943381
-1548.217998,68,27.643537,1193.851117,-1548.217998
-2122.405667,116,28.516152,-244.011246,-2122.405667
-1334.351081,53,28.910783,1153.320826,-1334.351081
-1446.300288,58,29.334146,1155.886929,-1446.300288
-1268.814868,42,29.654087,1114.450562,-1268.814868
-1541.967914,73,30.196167,1108.524352,-1541.967914
-1225.309242,48,30.542676,1133.165766,-1225.309242
-1302.027352,72,31.079387,1095.121514,-1302.027352
-1576.678246,72,31.627351,1009.443462,-1576.678246
-1357.792746,50,32.007654,1129.438488,-1357.792746
-1507.211773,61,32.462583,1159.958744,-1507.211773
-1400.394518,51,33.097681,1150.862005,-1400.394518
-1718.316479,95,33.775245,1157.227915,-1718.316479
-1563.409338,70,34.307509,1208.770858,-1563.409338
-1244.182325,47,34.651303,1141.767836,-1244.182325
-1671.18978,77,35.266577,1109.550962,-1671.18978
-1329.677222,52,35.653981,1140.424029,-1329.677222
-1394.795796,51,36.044329,1151.148639,-1394.795796
-1992.680103,114,36.952549,-143.145043,-1992.680103
-1680.525979,76,37.586753,1233.103171,-1680.525979
-1474.872298,68,38.359048,1173.628385,-1474.872298
-1225.012084,54,39.074571,1147.733116,-1225.012084
-1501.686665,57,39.692115,991.956829,-1501.686665
-1313.859817,41,40.032605,1104.978333,-1313.859817
-1328.118957,48,40.475471,1139.954633,-1328.118957
-1243.84907,35,40.745239,1084.918703,-1243.84907
-1221.977556,43,41.05301,1127.93348,-1221.977556
-1429.326046,56,41.565091,1154.688308,-1429.326046
-1716.062423,81,42.396449,1115.713367,-1716.062423
-1359.402574,52,42.84109,1141.566243,-1359.402574
-1454.515581,60,43.347839,1158.415203,-1454.515581
-1401.954361,57,43.828856,1158.711988,-1401.954361
-1211.24927,45,44.186636,1134.758823,-1211.24927
-1508.856889,65,44.750142,1186.650802,-1508.856889
-1924.92676,108,45.731815,1124.845232,-1924.92676
-1517.215627,59,46.257213,1123.693882,-1517.215627
-1445.633785,56,46.696556,1160.970359,-1445.633785
-1477.473176,66,47.26544,1165.737347,-1477.473176
-1440.065382,61,47.872143,1161.59644,-1440.065382
-1489.143648,68,48.489232,1187.323667,-1489.143648
-1355.605103,49,48.898042,1136.28755,-1355.605103
-1299.741388,55,49.384229,1150.946464,-1299.741388
-1515.994778,59,50.032757,1162.00359,-1515.994778
-1469.77595,58,50.538679,1169.34185,-1469.77595
-1581.642254,64,51.384171,1139.366454,-1581.642254
-1578.129123,68,52.072214,1190.693014,-1578.129123
-1201.943355,42,52.474328,1112.311405,-1201.943355
-1361.271614,46,52.844984,1102.766784,-1361.271614
-1536.471568,64,53.380338,1180.951771,-1536.471568
-1221.481144,41,53.883964,1114.449475,-1221.481144
-1559.374708,61,54.570609,1164.872167,-1559.374708
-1200.734251,41,54.969815,1115.431117,-1200.734251
-1373.854475,48,55.46572,1133.192722,-1373.854475
-1698.358352,82,56.330886,-153.247071,-1698.358352
-1667.637349,79,57.094532,1149.533794,-1667.637349
-1216.675665,35,57.391008,1096.692721,-1216.675665
-1182.4747,38,57.78053,1116.072539,-1182.4747
-1377.990195,48,58.190103,1136.549478,-1377.990195
-1481.556094,64,58.745233,1180.59268,-1481.556094
-1453.634085,56,59.232069,1158.691429,-1453.634085
-1220.950127,36,59.537263,1099.13442,-1220.950127
-1584.130812,68,60.144016,1144.743487,-1584.130812
-1354.639776,49,60.606475,1133.216515,-1354.639776
-1302.461674,45,61.035832,1112.529791,-1302.461674
-1354.607134,50,61.53337,1132.974806,-1354.607134
-1227.934228,57,62.164167,1177.705782,-1227.934228
-1259.478541,56,62.686108,1152.467793,-1259.478541
-1302.191197,44,63.108814,1128.511992,-1302.191197
-1422.970726,52,63.527731,1149.151104,-1422.970726
-2046.876184,113,64.605977,13.45699,-2046.876184
-1308.183247,50,65.059755,1118.113584,-1308.183247
