#{"t_start": 1638323069.129112, "env_id": "multicomp/YouShallNotPassHumans-v0"}
r,l,t,r0,r1
-1159.857199,41,1.333449,1113.775598,-1159.857199
-1590.591114,69,1.900414,1117.204464,-1590.591114
-1194.233806,35,2.207911,1085.51962,-1194.233806
-1294.202886,46,2.6239,1131.377096,-1294.202886
-1838.428986,84,3.254162,-177.524826,-1838.428986
-1600.806849,72,3.783883,1061.953125,-1600.806849
-1573.450491,71,4.316856,1196.614062,-1573.450491
-1227.17717,41,4.632522,1107.631581,-1227.17717
-1296.05607,46,4.985487,1132.671354,-1296.05607
-1346.623637,64,5.473955,1184.778844,-1346.623637
-1262.742995,44,5.809558,1118.286577,-1262.742995
-1491.178062,68,6.356102,1211.497036,-1491.178062
-1534.530205,64,6.848384,1104.329359,-1534.530205
-1369.934064,48,7.201836,1128.023289,-1369.934064
-1818.16738,87,7.841345,1245.736308,-1818.16738
-1558.799052,66,8.382649,1029.096827,-1558.799052
-1300.23564,49,8.775208,1140.041996,-1300.23564
-1271.651862,48,9.259607,1140.322779,-1271.651862
-1587.182561,84,9.969407,1250.987464,-1587.182561
-1449.714574,63,10.47158,1172.0745,-1449.714574
-1392.382784,55,10.926138,1152.524253,-1392.382784
-1449.86129,63,11.41756,1170.530742,-1449.86129
-1249.731073,55,11.846749,1142.872993,-1249.731073
-1210.628216,38,12.143621,1104.38102,-1210.628216
-1366.587833,59,12.597094,1153.104571,-1366.587833
-1219.582117,47,12.943922,1126.736942,-1219.582117
-1783.180349,87,13.675709,65.564048,-1783.180349
-1387.767496,60,14.121541,1160.869187,-1387.767496
-1521.601343,71,14.65071,-62.999057,-1521.601343
-1229.560825,46,15.010958,1128.736693,-1229.560825
-1326.617039,43,15.324865,1122.236162,-1326.617039
-1474.719201,63,15.80813,1172.398731,-1474.719201
-1295.55303,52,16.211907,1158.122723,-1295.55303
-1332.612429,58,16.638849,1169.119552,-1332.612429
-1749.958131,77,17.646216,20.726278,-1749.958131
-1480.658296,59,18.07274,1161.140335,-1480.658296
-1204.126023,40,18.383305,1107.620329,-1204.126023
-1619.367068,73,18.93708,1208.892165,-1619.367068
-1387.497254,57,19.389001,1171.985697,-1387.497254
-1382.796176,72,19.939883,1194.70895,-1382.796176
-1281.152017,48,20.306952,1128.19576,-1281.152017
-1272.216992,40,20.639632,1121.898162,-1272.216992
-1239.820578,37,20.941931,1095.448811,-1239.820578
-1378.797005,53,21.363304,1141.711447,-1378.797005
-1272.628467,40,21.667042,1110.576219,-1272.628467
-1240.380482,50,22.02475,1152.851027,-1240.380482
-1626.785925,74,22.55794,1089.104191,-1626.785925
-1295.24077,52,22.938913,1148.415892,-1295.24077
-1350.711555,44,23.262059,1129.041619,-1350.711555
-1413.172159,65,23.735109,1192.425467,-1413.172159
-1411.666613,60,24.164638,1174.39014,-1411.666613
-1229.4419,38,24.478549,1109.977475,-1229.4419
-1606.831617,83,25.082552,1144.810392,-1606.831617
-1369.198194,54,25.47699,1149.379242,-1369.198194
-1668.75166,81,26.091443,-26.232205,-1668.75166
-1705.031635,75,26.635462,1080.706436,-1705.031635
-1255.699724,38,26.902953,1092.831972,-1255.699724
-1469.405732,64,27.366326,1102.213161,-1469.405732
-1486.117466,57,27.765037,1167.106719,-1486.117466
-1336.635495,43,28.081368,1111.82793,-1336.635495
-1325.550761,61,28.556922,1161.224026,-1325.550761
-1362.671457,54,28.959927,1135.739414,-1362.671457
-1312.075874,46,29.294802,1138.863702,-1312.075874
-1579.891819,72,29.834628,1100.289259,-1579.891819
-1341.344974,49,30.197434,1147.545582,-1341.344974
-1461.058867,55,30.596704,1148.411235,-1461.058867
-1480.853554,60,31.045341,1070.316585,-1480.853554
-1349.774607,67,31.55799,1192.626092,-1349.774607
-1206.597975,39,31.865546,1102.19353,-1206.597975
-1692.680773,89,32.517102,33.582377,-1692.680773
-1467.233958,56,33.184731,1093.188161,-1467.233958
-1220.385453,45,33.513646,1132.339194,-1220.385453
-1421.429835,61,33.940777,1163.885056,-1421.429835
-1249.796221,46,34.304279,1132.639006,-1249.796221
-1368.81876,51,34.676309,1151.338004,-1368.81876
-1627.516245,73,35.260563,1210.952369,-1627.516245
-1337.987478,60,35.713803,1168.926474,-1337.987478
-1399.994276,53,36.115003,1162.874513,-1399.994276
-1536.688742,59,36.598005,1166.423869,-1536.688742
-1390.111493,53,37.006526,1155.152876,-1390.111493
-1652.057242,70,37.591995,1202.991319,-1652.057242
-1239.891624,42,38.023566,1110.459126,-1239.891624
-1405.86534,51,38.711058,1129.01301,-1405.86534
-1485.98375,71,39.541838,1172.005102,-1485.98375
-1342.247089,60,40.079232,1186.816034,-1342.247089
-1169.145705,44,40.482665,1125.286707,-1169.145705
