#{"t_start": 1556500435.501648, "env_id": "multicomp/KickAndDefend-v0"}
r,l,t,r0,r1
-1521.136028,500,6.740323,848.277424,-1521.136028
-2551.144032,343,10.54052,1851.672594,-2551.144032
-1307.000491,466,15.556865,668.269126,-1307.000491
468.936614,138,17.026264,-954.597259,468.936614
216.468523,180,18.91356,-881.461291,216.468523
-1934.312637,231,21.487533,1749.776286,-1934.312637
-1690.191123,162,23.177582,1689.611257,-1690.191123
72.645755,206,25.864063,-459.693074,72.645755
-2381.061701,290,28.923253,1882.687738,-2381.061701
-1636.870903,146,30.546478,1593.339911,-1636.870903
-2598.657273,328,34.076657,2224.615063,-2598.657273
-2183.615454,244,36.775984,1739.23308,-2183.615454
-1483.182159,494,42.147251,-23.621585,-1483.182159
298.346928,257,45.006082,-129.504887,298.346928
-1888.615628,199,47.512643,1695.969827,-1888.615628
-2428.76033,300,50.752476,1707.245185,-2428.76033
-331.877439,273,53.722175,73.78317,-331.877439
-1855.034253,199,55.936482,1724.009104,-1855.034253
-1832.711679,196,58.029169,1840.134853,-1832.711679
-1908.343121,202,60.289361,1773.965088,-1908.343121
-1897.108337,212,62.594576,1785.7887,-1897.108337
-2982.381369,399,66.879122,1926.236248,-2982.381369
-323.474481,285,70.231723,-239.86526,-323.474481
-1736.705148,173,72.135355,1749.611613,-1736.705148
-1952.927797,213,74.449383,1686.48878,-1952.927797
-1054.411987,48,74.951116,106.594872,-1054.411987
-1758.756294,173,77.001985,1682.174284,-1758.756294
-2331.751828,285,80.233972,1815.036279,-2331.751828
-1126.015353,425,84.918808,43.282225,-1126.015353
-1567.756302,131,86.217928,1556.755452,-1567.756302
-2208.529144,265,89.052918,1823.168758,-2208.529144
-1020.128223,500,94.644133,-165.247822,-1020.128223
-976.019539,400,98.870535,214.048591,-976.019539
-1937.040056,202,101.063818,1837.025758,-1937.040056
-2151.318827,242,103.68467,1726.999713,-2151.318827
-2102.914575,237,106.311501,1826.604813,-2102.914575
430.764107,148,107.968877,-906.085835,430.764107
-1849.75311,190,110.009707,1422.206978,-1849.75311
-2191.63607,271,112.885102,1835.726473,-2191.63607
76.773139,201,115.332523,-658.52824,76.773139
-1933.325307,214,117.555737,1774.345606,-1933.325307
-2991.808737,403,121.74953,1674.746723,-2991.808737
-1529.728748,500,127.060227,867.537452,-1529.728748
-404.180947,309,130.392422,20.661826,-404.180947
840.064263,76,131.225897,-791.264001,840.064263
-1178.43414,69,131.999442,281.02994,-1178.43414
574.833893,211,134.295252,-406.287706,574.833893
-1651.096205,156,136.31389,1653.151172,-1651.096205
-1971.016608,211,138.57803,1741.251444,-1971.016608
-2476.462628,320,142.100147,1999.575922,-2476.462628
-1971.609884,214,144.478706,1802.949983,-1971.609884
-2811.23631,363,148.31723,1810.090312,-2811.23631
-2090.727055,232,151.04808,1794.543867,-2090.727055
-1682.901493,158,152.723933,1633.036364,-1682.901493
-2469.234008,303,155.953467,1858.167509,-2469.234008
-1817.854034,187,157.921658,1797.208198,-1817.854034
-2999.305306,415,162.661893,2412.104602,-2999.305306
-1561.029176,134,164.101144,1578.55806,-1561.029176
-995.043285,50,164.672485,87.907745,-995.043285
-2456.693773,299,167.939471,1911.213559,-2456.693773
-1068.092059,51,168.461316,5.127016,-1068.092059
-2138.294303,239,171.103836,1857.914669,-2138.294303
-1079.150114,57,171.764868,23.295928,-1079.150114
-1860.893348,191,173.848272,1813.303438,-1860.893348
-1042.623486,44,174.330779,82.251806,-1042.623486
-1871.673792,198,176.648409,1699.565579,-1871.673792
-1511.98817,500,182.386463,999.959267,-1511.98817
-1814.439028,181,184.342718,1810.459286,-1814.439028
-1777.43738,179,186.192313,1732.450759,-1777.43738
-2754.104802,355,189.969792,1779.116136,-2754.104802
-1086.326936,61,190.65992,35.505511,-1086.326936
-189.901811,255,193.374019,-43.817673,-189.901811
-2216.236282,253,196.066645,1992.457883,-2216.236282
-3055.557839,414,200.575504,1692.065735,-3055.557839
-545.766394,335,204.451698,425.234176,-545.766394
-1660.787192,158,206.151393,1596.908404,-1660.787192
-1718.774378,167,207.973963,1718.019123,-1718.774378
-2744.522166,350,211.919853,2017.915346,-2744.522166
-1094.843293,59,212.549746,132.689179,-1094.843293
-1667.138428,158,214.301955,1696.735747,-1667.138428
-1924.144859,206,216.522455,1720.907498,-1924.144859
-1535.320083,500,222.01951,284.574528,-1535.320083
-1341.260229,103,223.129756,368.790893,-1341.260229
-1526.297995,129,224.562384,1561.87685,-1526.297995
-2293.95858,275,227.766746,1894.979944,-2293.95858
-1930.832273,209,229.936988,1587.194815,-1930.832273
-1896.066848,199,232.118792,1661.491427,-1896.066848
-2246.326671,267,235.016152,1747.393384,-2246.326671
-2074.041729,225,237.499513,1778.510965,-2074.041729
-178.930919,346,241.252244,-130.631895,-178.930919
285.648617,168,243.076294,-757.125348,285.648617
-1764.497698,179,245.031906,400.143386,-1764.497698
-1949.744536,214,247.396003,1715.27271,-1949.744536
-1157.743801,60,248.051826,106.768758,-1157.743801
-1832.373653,191,250.333377,1720.818406,-1832.373653
337.719763,157,252.043907,-461.898928,337.719763
-1169.453389,62,252.728753,111.831678,-1169.453389
-2632.971225,335,256.237207,1976.070616,-2632.971225
-1962.826973,219,258.57316,1779.077282,-1962.826973
-2402.433264,297,261.79981,1612.098797,-2402.433264
-978.242847,39,262.250613,44.666944,-978.242847
-2948.762879,394,266.584826,1879.459983,-2948.762879
-3482.705385,490,272.097798,2833.865089,-3482.705385
-3014.145087,413,276.552836,2770.270313,-3014.145087
-2063.070317,225,278.935054,1873.72701,-2063.070317
-463.213672,303,282.132443,-414.716326,-463.213672
1519.096794,4,282.173479,-983.807699,1519.096794
583.343137,209,284.487776,-218.330432,583.343137
-2169.167245,252,287.213519,1609.592034,-2169.167245
-287.406597,269,290.137603,-207.201701,-287.406597
-917.482468,500,296.231747,472.766057,-917.482468
-1526.007001,500,303.173614,890.046524,-1526.007001
238.358,264,306.924772,-81.106148,238.358
-1026.912438,42,307.517589,152.324838,-1026.912438
-1928.328719,208,310.933024,1836.220378,-1928.328719
-1879.591199,235,313.886488,1769.730792,-1879.591199
-1757.363336,170,316.136647,1706.972549,-1757.363336
-2083.039799,227,319.137856,1975.027899,-2083.039799
415.03894,159,320.959428,-585.583746,415.03894
-1406.308363,500,327.200608,762.938271,-1406.308363
-1506.183478,500,332.692545,814.238383,-1506.183478
-1521.540517,500,338.052102,-599.332492,-1521.540517
-861.767688,377,342.252166,-197.86848,-861.767688
-2131.492394,254,345.325635,1592.176793,-2131.492394
-1787.461461,197,347.430476,1781.858194,-1787.461461
-1349.995841,96,348.42163,277.109732,-1349.995841
-1025.052694,500,353.812773,779.683235,-1025.052694
-2060.597834,225,356.232251,1733.315179,-2060.597834
-3005.936782,404,360.560065,2734.840232,-3005.936782
-2037.245097,218,362.983844,1815.494474,-2037.245097
-1824.133131,190,364.92638,1689.561373,-1824.133131
-123.969388,238,367.758288,-396.271911,-123.969388
-1542.295202,125,369.07084,1460.34805,-1542.295202
