#{"t_start": 1636776089.963245, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-995.135842,41,49.012339,11.964801,-995.135842
-967.864659,40,49.404596,39.504326,-967.864659
-981.092583,38,49.769212,50.796307,-981.092583
-970.060105,43,50.185329,23.008368,-970.060105
-1094.808938,62,50.820618,-129.475043,-1094.808938
-1013.023394,39,51.241868,58.610212,-1013.023394
-1243.788697,73,52.099939,-116.529978,-1243.788697
-1070.038943,45,52.615385,-8.338218,-1070.038943
-1102.345337,60,53.253323,-117.85464,-1102.345337
-1227.375641,80,54.034283,-205.904684,-1227.375641
-1074.59292,57,54.598727,-117.348307,-1074.59292
-1070.274065,51,55.101809,-45.959243,-1070.274065
-972.51128,40,55.47901,24.740927,-972.51128
-1006.51899,39,55.848873,24.521277,-1006.51899
-1008.931128,41,56.253108,41.214101,-1008.931128
-974.503032,41,56.623815,44.404049,-974.503032
-1031.108686,46,57.091357,-24.650088,-1031.108686
-976.365281,41,57.512514,13.452052,-976.365281
-1443.941572,98,58.477984,-286.173397,-1443.941572
-1090.44183,46,58.936655,56.781347,-1090.44183
-963.683108,39,59.28177,30.496803,-963.683108
-1123.067074,66,59.93398,892.187723,-1123.067074
-1075.532621,50,60.466969,48.582495,-1075.532621
-971.70208,41,60.869202,83.110142,-971.70208
-952.436079,39,61.261636,43.805872,-952.436079
-1141.121395,67,61.910735,909.03481,-1141.121395
-1146.860659,58,62.553801,-71.024611,-1146.860659
-967.426716,57,63.158034,-151.12843,-967.426716
-1022.366315,50,63.738714,-35.99565,-1022.366315
-1043.262349,49,64.20862,-16.811148,-1043.262349
-991.578289,41,64.653881,63.344848,-991.578289
-1171.440318,59,65.275543,177.960832,-1171.440318
-1061.128433,59,66.028829,-48.242376,-1061.128433
-1444.247714,92,67.211017,-278.466811,-1444.247714
-1077.900755,63,67.969433,938.914401,-1077.900755
-1023.749614,40,68.493971,48.824336,-1023.749614
-998.008063,48,69.127044,1005.200595,-998.008063
-1193.324356,75,69.927894,849.949833,-1193.324356
-1053.67492,58,71.14104,939.11431,-1053.67492
-1422.661514,114,72.322041,620.604937,-1422.661514
-1114.412645,53,72.896335,-80.561265,-1114.412645
-949.813183,52,73.446488,-67.27507,-949.813183
-1129.028247,77,74.34158,796.588944,-1129.028247
-1073.074022,52,74.945243,-47.198517,-1073.074022
-1264.144975,88,76.059594,730.205106,-1264.144975
-1140.951207,59,76.865225,-69.964603,-1140.951207
-1218.279767,67,77.946052,-117.054973,-1218.279767
-1013.549786,43,78.545709,-10.756199,-1013.549786
-1038.587569,52,79.117857,-43.446324,-1038.587569
-1122.202701,63,79.795636,-109.076197,-1122.202701
-1110.390662,59,80.387146,-93.267839,-1110.390662
-1062.935595,47,80.885402,-26.17319,-1062.935595
-1036.870751,45,81.38299,-10.612219,-1036.870751
-1023.774327,62,82.041383,-103.981963,-1023.774327
