#{"t_start": 1638332516.9847324, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-1406.005961,316,33.232924,870.684053,-1406.005961
-678.706911,256,35.761694,1613.357061,-678.706911
-752.908137,102,36.746742,405.423758,-752.908137
1222.325743,97,37.651227,-737.899839,1222.325743
-1484.122281,207,39.726739,668.186243,-1484.122281
-1578.870236,128,40.906013,489.956049,-1578.870236
1452.665963,322,43.976521,-291.812957,1452.665963
-312.29817,500,49.225996,-326.589011,-312.29817
-1020.116135,49,49.716204,1000.533751,-1020.116135
-1071.119644,264,52.897972,1058.538557,-1071.119644
-455.606219,362,56.436847,2215.323348,-455.606219
-1697.454369,154,58.002145,416.628695,-1697.454369
-398.016717,369,61.563164,1494.599933,-398.016717
404.195526,224,63.705146,-1629.825114,404.195526
-635.396811,198,65.585511,734.037543,-635.396811
-2942.505013,186,67.502211,-843.83287,-2942.505013
-984.382073,224,69.777279,1378.709126,-984.382073
-763.596192,165,71.89233,1570.551127,-763.596192
-1026.257133,273,75.634985,1057.795405,-1026.257133
-2268.846238,192,78.112015,-4.706707,-2268.846238
-799.820364,183,80.525869,1284.479678,-799.820364
40.50251,373,84.990143,2003.788306,40.50251
-454.198059,284,88.130933,1751.565434,-454.198059
-925.628633,110,89.336083,1233.076243,-925.628633
-858.784028,87,90.127681,356.333246,-858.784028
-1369.276087,281,92.963636,969.723437,-1369.276087
-745.593407,193,94.851715,1362.899872,-745.593407
-2817.902027,304,97.920959,-505.564019,-2817.902027
-812.414265,106,98.965816,348.516598,-812.414265
-1055.769294,305,102.055774,1337.189433,-1055.769294
-1519.141663,132,103.358138,601.644541,-1519.141663
-682.398559,276,106.252275,1465.659905,-682.398559
-826.432001,221,108.490179,1617.522885,-826.432001
-1097.224825,133,109.677735,1067.634715,-1097.224825
-615.820056,291,112.634201,1636.82954,-615.820056
-767.532639,185,114.322975,1472.751074,-767.532639
-732.303921,218,116.87632,1496.396612,-732.303921
-1411.624933,139,118.235258,582.718564,-1411.624933
-282.386795,365,122.12421,1905.455403,-282.386795
-701.512238,137,123.604316,419.758807,-701.512238
1024.64149,55,124.161447,-1007.886243,1024.64149
-1748.574296,120,125.318085,371.623703,-1748.574296
-590.964081,194,127.36866,703.325475,-590.964081
-1063.22114,203,129.466534,1144.748351,-1063.22114
-683.14512,230,131.807,1688.759617,-683.14512
-336.158201,198,133.717744,673.868117,-336.158201
-718.991486,146,135.196651,410.316352,-718.991486
246.672133,72,135.942408,-724.86489,246.672133
-1062.939263,40,136.337194,962.452525,-1062.939263
-2179.336887,140,138.088763,-54.141063,-2179.336887
-982.60516,236,140.834378,1559.675538,-982.60516
-1326.871845,140,142.287396,809.861258,-1326.871845
-576.209024,163,144.01835,585.165933,-576.209024
-844.167176,78,144.848635,210.461124,-844.167176
-621.274585,162,147.009828,621.81011,-621.274585
-309.337716,252,150.251107,1947.42577,-309.337716
-1240.478633,93,151.513494,852.354017,-1240.478633
-594.313891,162,153.557299,566.89385,-594.313891
-705.284243,151,155.366037,523.792553,-705.284243
-1074.236739,85,156.307251,915.895258,-1074.236739
-823.30617,243,159.11825,1603.05627,-823.30617
-1240.737954,233,161.793659,935.574193,-1240.737954
-822.247285,98,162.739329,314.406633,-822.247285
-321.155307,500,168.014794,147.191956,-321.155307
-931.885346,49,168.506408,116.779285,-931.885346
-608.501352,180,170.422154,595.466852,-608.501352
-999.860715,217,172.751993,1329.281653,-999.860715
-1348.753539,311,175.630699,-3209.780148,-1348.753539
-1190.774691,119,176.820643,881.945471,-1190.774691
-1044.893579,44,177.287569,971.480459,-1044.893579
-749.43334,145,178.571847,1313.952843,-749.43334
-744.133202,107,179.517796,351.828528,-744.133202
-1192.414857,356,183.569993,848.924834,-1192.414857
-1086.807386,368,187.082709,1245.571351,-1086.807386
-1584.433711,209,189.098352,622.098087,-1584.433711
-1037.085937,47,189.537601,961.973005,-1037.085937
-927.372504,119,190.68376,1222.895046,-927.372504
-1287.896417,187,192.470768,830.256101,-1287.896417
-1258.963819,126,193.870075,868.081787,-1258.963819
-869.980098,107,195.034948,1252.70999,-869.980098
996.79539,53,195.635888,-984.809748,996.79539
-756.261445,188,197.46321,1529.569152,-756.261445
-738.01981,104,198.462836,384.261022,-738.01981
-1293.135755,109,199.557541,827.084348,-1293.135755
-611.941671,141,201.110185,564.676066,-611.941671
-1479.590972,441,206.11031,1122.688124,-1479.590972
-808.381278,156,207.787213,1470.935571,-808.381278
-370.38202,199,209.956087,624.547819,-370.38202
-1354.252776,135,211.442036,713.762362,-1354.252776
-910.83888,90,212.623679,214.265402,-910.83888
-1030.388676,48,213.207146,971.080481,-1030.388676
-2645.970533,256,216.421512,-436.551919,-2645.970533
-1199.750319,128,217.979758,856.175466,-1199.750319
-696.364404,183,220.446452,721.254587,-696.364404
-1268.003085,84,221.688417,753.768613,-1268.003085
-1137.53938,52,222.39054,907.37234,-1137.53938
-2520.24882,378,227.290745,-254.254981,-2520.24882
-861.153001,176,229.67932,1156.767354,-861.153001
1182.760353,152,231.423998,-900.943881,1182.760353
-612.408964,201,233.657824,781.963899,-612.408964
208.806537,74,234.440114,-873.349923,208.806537
-731.878427,191,236.359837,1587.37999,-731.878427
-441.761142,271,239.234719,1070.455132,-441.761142
-350.441609,298,242.193964,1967.031271,-350.441609
-654.452535,178,243.939811,633.442656,-654.452535
-687.545084,252,246.461171,1802.681874,-687.545084
-341.152189,247,248.831918,1672.978545,-341.152189
-850.343488,94,249.649256,305.421079,-850.343488
-1324.181249,380,253.799026,835.656563,-1324.181249
-2756.469389,435,258.392612,-681.224729,-2756.469389
-626.900273,126,259.653898,490.265421,-626.900273
-822.799403,101,260.785945,306.247532,-822.799403
-360.996208,306,264.220385,1096.448915,-360.996208
-725.368726,116,265.626393,355.748708,-725.368726
-1959.873488,500,272.148112,-1806.792792,-1959.873488
-1364.84154,261,276.245763,649.973571,-1364.84154
-1118.862535,184,279.102791,1064.120267,-1118.862535
-844.62943,161,281.288839,1347.131585,-844.62943
-786.714612,103,282.800283,1267.988763,-786.714612
-142.513017,258,285.709131,-29.400246,-142.513017
-862.148314,183,287.762263,1384.376351,-862.148314
-802.439506,92,288.873978,327.028703,-802.439506
-815.399671,119,290.101386,1271.78267,-815.399671
276.392739,82,290.95036,-733.25987,276.392739
-559.812435,211,293.063513,864.076647,-559.812435
-694.382592,99,294.038672,368.040692,-694.382592
-2313.682888,131,295.410163,-235.117629,-2313.682888
-1364.276121,200,297.406726,874.759919,-1364.276121
-666.87673,214,299.809148,720.755683,-666.87673
-669.527979,147,301.292272,519.300204,-669.527979
-409.434512,214,303.446064,1613.3708,-409.434512
-2256.537589,204,305.663732,-85.977917,-2256.537589
-1325.926678,202,307.876475,988.360997,-1325.926678
-568.431575,191,309.588154,732.549538,-568.431575
-730.167108,163,311.227634,1354.012966,-730.167108
-1212.859124,500,316.880902,-971.030402,-1212.859124
-1039.09819,191,319.300537,1083.222076,-1039.09819
-1314.103676,156,321.421793,890.004676,-1314.103676
-1716.019243,221,324.541284,380.115716,-1716.019243
-1714.687248,102,325.84849,413.421162,-1714.687248
-1034.596474,275,329.395305,1281.06942,-1034.596474
-436.548278,349,334.007325,2299.501716,-436.548278
-645.960394,319,337.995695,1776.239426,-645.960394
-380.047396,373,342.321833,2128.836574,-380.047396
-820.336758,84,343.142206,308.12164,-820.336758
-1324.261836,209,345.809681,938.57202,-1324.261836
-529.862134,193,348.346004,651.048314,-529.862134
220.447859,109,349.421673,-822.563105,220.447859
-1402.173603,357,352.976508,749.317985,-1402.173603
-783.221172,127,354.040399,410.896903,-783.221172
-445.242715,174,355.672465,576.669355,-445.242715
-1001.074165,96,356.572933,1071.980766,-1001.074165
-866.323301,303,359.692049,1526.993351,-866.323301
-745.540071,96,360.573446,304.941688,-745.540071
-1427.275345,406,364.646639,703.575932,-1427.275345
-2023.220732,160,366.251095,129.889654,-2023.220732
-304.795793,346,370.184798,1250.957136,-304.795793
-175.625305,401,377.496928,1421.249658,-175.625305
-1036.055691,91,378.787609,1075.029422,-1036.055691
-646.824098,160,381.006614,627.389452,-646.824098
-1701.322217,327,384.933923,663.816407,-1701.322217
-793.297732,130,386.621167,479.621149,-793.297732
-1053.553583,193,389.279124,1145.682348,-1053.553583
-1377.571502,111,391.23503,726.674621,-1377.571502
-1584.23209,183,394.375826,517.44937,-1584.23209
-899.667589,106,395.713628,1167.903684,-899.667589
-1283.375733,142,397.804961,827.634635,-1283.375733
-1200.994865,211,400.63812,1051.097566,-1200.994865
-743.050765,94,401.910222,1227.709703,-743.050765
401.642232,500,410.397089,670.111283,401.642232
-1631.982146,154,412.478604,529.480385,-1631.982146
-1160.79276,112,413.834337,954.077639,-1160.79276
-1693.687547,198,416.194863,507.666121,-1693.687547
-562.442123,276,419.210747,2069.104996,-562.442123
-1144.836062,235,421.672166,929.106913,-1144.836062
-720.838275,114,423.017278,370.629242,-720.838275
-762.135934,155,424.863332,1384.758057,-762.135934
-286.439966,500,429.462093,-5.498363,-286.439966
-272.297185,391,433.591784,1486.670521,-272.297185
-1110.555117,130,435.015791,1041.809775,-1110.555117
-1346.850802,246,437.740255,703.323334,-1346.850802
-943.657512,198,439.847771,1178.260925,-943.657512
-1135.882652,136,441.313361,778.646898,-1135.882652
-902.664865,500,447.657267,-316.387338,-902.664865
-1727.042981,369,452.370027,591.077223,-1727.042981
