#{"t_start": 1638332517.2366319, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-834.565364,232,32.164541,1651.184666,-834.565364
213.269378,500,37.030591,917.9607,213.269378
-945.013593,182,38.836451,1210.590915,-945.013593
-995.843899,128,40.069677,1194.6957,-995.843899
-848.522706,87,40.881547,272.494364,-848.522706
-966.775215,108,41.876832,1130.516451,-966.775215
-1745.867085,74,42.568834,276.230078,-1745.867085
-1188.660053,189,44.517337,974.254081,-1188.660053
-706.218491,177,46.414607,697.625501,-706.218491
-977.14965,227,48.721144,1549.47607,-977.14965
-864.783937,149,50.868919,1196.395868,-864.783937
-639.465417,192,52.693402,739.540522,-639.465417
-1065.543714,117,53.734528,1064.754073,-1065.543714
-1327.152269,104,54.771558,809.128648,-1327.152269
-1708.244289,109,55.882112,293.853273,-1708.244289
-1400.735328,134,57.271908,674.232109,-1400.735328
-838.939769,66,57.919075,215.098889,-838.939769
-716.787179,120,59.115848,468.853303,-716.787179
-1143.656821,165,60.610753,1091.443358,-1143.656821
-822.956401,158,62.205575,1320.919549,-822.956401
1111.68184,283,64.879433,-725.335145,1111.68184
-740.303682,98,65.843467,391.469944,-740.303682
-1156.867667,157,67.484218,928.077563,-1156.867667
-998.073135,55,68.027653,1001.376563,-998.073135
-1333.557154,411,73.030006,1371.830065,-1333.557154
-1387.951744,420,78.629432,739.091265,-1387.951744
-1303.819492,143,80.425883,903.135299,-1303.819492
-986.866591,124,81.853231,1181.618901,-986.866591
-785.607529,183,84.159317,639.19784,-785.607529
1204.101757,204,86.55786,-761.028072,1204.101757
-1615.699092,172,88.312443,666.283712,-1615.699092
-808.224754,140,89.714752,445.577691,-808.224754
1055.491925,45,90.138608,-910.072186,1055.491925
-808.851864,74,90.915534,319.094815,-808.851864
-1189.577779,138,92.311426,874.825795,-1189.577779
-1033.314132,458,96.889273,1583.664571,-1033.314132
-854.294508,110,97.984607,1203.8484,-854.294508
-448.605323,279,100.770643,982.170874,-448.605323
-1347.061956,78,101.548137,724.17222,-1347.061956
-1072.860857,166,103.222625,999.99747,-1072.860857
-1561.123605,136,104.619617,611.131953,-1561.123605
-1300.391415,58,105.295619,718.967729,-1300.391415
-1578.285608,266,107.922558,596.342626,-1578.285608
-824.125039,317,110.89445,1628.36553,-824.125039
-329.930947,313,114.014165,-2190.19418,-329.930947
-1166.935371,121,115.387297,957.696527,-1166.935371
-548.145735,211,117.65836,1512.224583,-548.145735
-1170.092193,231,120.130695,924.369933,-1170.092193
-939.590371,464,124.940079,1706.605093,-939.590371
-253.434396,337,128.408129,897.694197,-253.434396
-1430.865806,185,130.314703,689.170039,-1430.865806
-1374.930976,181,132.178457,921.534514,-1374.930976
-1341.803683,323,135.386437,782.627995,-1341.803683
-836.831636,126,136.692328,1261.98353,-836.831636
-880.924282,146,138.746782,1326.284303,-880.924282
-596.046977,161,140.453275,627.363666,-596.046977
-3110.245483,404,144.699708,-697.520792,-3110.245483
-1791.585734,164,146.897083,390.499578,-1791.585734
-985.1619,144,148.781194,1117.920999,-985.1619
-1683.799093,181,151.16163,485.514356,-1683.799093
-919.148811,109,152.576653,1266.999708,-919.148811
-1790.152902,387,157.059809,408.841683,-1790.152902
-808.420264,135,158.672354,1478.590673,-808.420264
622.994432,94,159.603609,-1414.967203,622.994432
-1469.669783,146,161.429375,589.310606,-1469.669783
-1181.188339,167,163.157705,973.941899,-1181.188339
412.59942,284,166.11568,-1376.796033,412.59942
-786.635699,164,167.830941,1380.562018,-786.635699
-630.881137,405,172.115788,1689.668475,-630.881137
-1652.933243,107,173.18867,426.439386,-1652.933243
-1358.342393,71,173.805001,683.329586,-1358.342393
-1307.179668,148,175.204968,928.396618,-1307.179668
-1315.334669,129,176.436092,806.984549,-1315.334669
-398.597183,235,178.647723,872.5528,-398.597183
-1178.887861,104,179.550688,921.332261,-1178.887861
-1325.429811,221,181.906783,932.243985,-1325.429811
-900.809728,182,184.203933,1218.533799,-900.809728
-833.452745,132,185.509256,1327.118658,-833.452745
-1367.358853,213,187.343624,860.320036,-1367.358853
